Yahoo,Amazon,Facebook
32.98,663.539978,107.769997
32.86,643.299988,105.129997
32.95,647.809998,104.040001
32.19,642.349976,103.949997
33.23,665.599976,108.019997
33.38,673.25,109.010002
33.99,659.679993,107.910004
33.68,655.48999,106.489998
34.2,659.369995,107.099998
35.12,655.650024,108.760002
35.07,640.950012,103.940002
34.72,625.309998,102.580002
35.27,628.349976,103.309998
35.62,625.900024,101.970001
35.05,626.549988,104.879997
35.19,617.099976,104.199997
34.3,611.01001,103.699997
33.4,608.609985,103.769997
33.17,599.030029,102.190002
31.67,563.909973,99.669998
31.12,555.77002,97.110001
32.83,560.880005,97
33.5,573.150024,98.470001
33.37,570.76001,97.540001
33.48,562.440002,95.959999
32.09,544.830017,94.07
32.34,548.900024,94.120003
32.86,550.190002,94.260002
32.52,539.799988,93.239998
32.37,533.159973,92.470001
31.87,541.940002,92.400002
30.96,537.47998,92.800003
